UTP,Cidade Sede,UF,Impacto direto,Impacto direto e indireto,"Impacto direto, indireto e induzido"
16,Antônio Prado,RS,0.001,0.002,0.002
599,Morro do Chapéu,BA,0.002,0.002,0.002
260,Abaeté,MG,0.001,0.002,0.002
163,Itaocara,RJ,0.001,0.002,0.002
438,Campo do Meio,MG,0.001,0.002,0.002
716,São Raimundo Nonato,PI,0.002,0.002,0.002
536,Ipameri,GO,0.001,0.002,0.002
533,Ibotirama,BA,0.002,0.002,0.002
476,Colinas do Tocantins,TO,0.002,0.002,0.003
432,Caetité,BA,0.001,0.002,0.002
473,Coelho Neto,MA,0.002,0.002,0.002
179,Jardim,MS,0.002,0.002,0.002
523,Guaratuba,PR,0.001,0.002,0.002
521,Guanhães,MG,0.001,0.002,0.002
83,Caxambu,MG,0.001,0.002,0.002
116,Goianésia,GO,0.002,0.002,0.002
129,Indiara,GO,0.001,0.002,0.002
516,Goiatins,TO,0.001,0.002,0.002
455,Carinhanha,BA,0.002,0.002,0.002
456,Carutapera,MA,0.002,0.002,0.002
458,Cassilândia,MS,0.002,0.002,0.002
461,Cavalcante,GO,0.002,0.002,0.002
90,Cidreira,RS,0.001,0.002,0.002
463,Cerejeiras,RO,0.001,0.002,0.002
680,Santa Helena de Goiás,GO,0.001,0.002,0.002
558,João Pinheiro,MG,0.001,0.002,0.002
152,Sant'Ana do Livramento,RS,0.001,0.002,0.002
575,Macaúbas,BA,0.001,0.002,0.002
380,Amambai,MS,0.002,0.002,0.003
101,Curvelo,MG,0.001,0.002,0.002
571,Loanda,PR,0.002,0.002,0.002
667,Rio de Contas,BA,0.001,0.002,0.002
669,Rio Pardo de Minas,MG,0.002,0.002,0.002
485,Costa Rica,MS,0.002,0.002,0.002
564,Juruena,MT,0.001,0.002,0.002
723,Siqueira Campos,PR,0.001,0.002,0.002
507,Feijó,AC,0.001,0.002,0.002
495,Curitibanos,SC,0.002,0.002,0.002
555,Jataí,GO,0.001,0.002,0.002
722,Sertanópolis,PR,0.001,0.002,0.002
408,Bataguassu,MS,0.002,0.002,0.003
692,Santo Antônio do Içá,AM,0.002,0.002,0.003
153,Santo Antônio do Sudoeste,PR,0.001,0.002,0.002
701,São Gabriel do Oeste,MS,0.001,0.001,0.001
645,Piumhi,MG,0.0,0.001,0.001
697,São Francisco,MG,0.001,0.001,0.001
694,São Domingos,GO,0.001,0.001,0.001
702,São Gotardo,MG,0.0,0.001,0.001
772,Santa Maria,RN,0.0,0.001,0.001
698,São Francisco do Sul,SC,0.0,0.001,0.001
663,Registro,SP,0.001,0.001,0.001
648,Porangatu,GO,0.001,0.001,0.001
771,Pompéu,MG,0.001,0.001,0.001
684,José Raydan,MG,0.001,0.001,0.001
768,Guararapes,SP,0.001,0.001,0.001
764,Xique-Xique,BA,0.001,0.001,0.001
758,Vila Rica,MT,0.001,0.001,0.002
757,Vila Bela da Santíssima Trindade,MT,0.001,0.001,0.001
656,Prata,MG,0.001,0.001,0.002
721,Serro,MG,0.0,0.001,0.001
658,Presidente Epitácio,SP,0.001,0.001,0.001
672,Rosário do Sul,RS,0.0,0.001,0.001
730,Tanque Novo,BA,0.001,0.001,0.001
732,Tartarugalzinho,AP,0.001,0.001,0.001
703,São João do Piauí,PI,0.001,0.001,0.001
389,Araçuaí,MG,0.0,0.001,0.001
434,Camapuã,MS,0.001,0.001,0.002
443,Campos Belos,GO,0.001,0.001,0.001
450,Capelinha,MG,0.001,0.001,0.001
368,Afrânio,PE,0.001,0.001,0.001
466,Chapadão do Sul,MS,0.0,0.001,0.001
471,Cocos,BA,0.0,0.001,0.001
355,Uruçuí,PI,0.001,0.001,0.001
482,Correia Pinto,SC,0.001,0.001,0.001
331,Taquaruçu do Sul,RS,0.001,0.001,0.002
484,Costa Marques,RO,0.0,0.001,0.001
493,Cumaru do Norte,PA,0.001,0.001,0.001
496,Cururupu,MA,0.001,0.001,0.001
497,Diamantina,MG,0.001,0.001,0.002
501,Encruzilhada,BA,0.0,0.001,0.001
509,Fonte Boa,AM,0.001,0.001,0.002
288,Riolândia,SP,0.001,0.001,0.002
167,Itapiranga,SC,0.0,0.001,0.001
448,Canto do Buriti,PI,0.001,0.001,0.001
436,Campina Verde,MG,0.0,0.001,0.001
543,Itaporanga,PB,0.001,0.001,0.001
636,Piatã,BA,0.0,0.001,0.001
382,Amaturá,AM,0.001,0.001,0.001
393,Arapoti,PR,0.001,0.001,0.001
376,Alto Alegre,RR,0.001,0.001,0.001
373,Almenara,MG,0.001,0.001,0.001
397,Arroio Grande,RS,0.001,0.001,0.001
401,Bambuí,MG,0.001,0.001,0.001
403,Barcelos,AM,0.0,0.001,0.001
409,Belém do São Francisco,PE,0.001,0.001,0.001
411,Boca do Acre,AM,0.001,0.001,0.001
412,Bom Jesus,PI,0.001,0.001,0.001
413,Bonfinópolis de Minas,MG,0.001,0.001,0.001
415,Boquira,BA,0.001,0.001,0.001
417,Brasília de Minas,MG,0.001,0.001,0.001
372,Alegrete,RS,0.001,0.001,0.001
424,Buritirama,BA,0.001,0.001,0.001
530,Ibaiti,PR,0.001,0.001,0.001
250,Pedro Osório,RS,0.0,0.001,0.001
390,Araguacema,TO,0.001,0.001,0.001
556,Jequitinhonha,MG,0.0,0.001,0.001
590,Mineiros,GO,0.001,0.001,0.001
589,Minas Novas,MG,0.001,0.001,0.001
583,Marechal Thaumaturgo,AC,0.001,0.001,0.002
576,Machadinho D'Oeste,RO,0.001,0.001,0.002
131,Quaraí,RS,0.001,0.001,0.001
608,Normandia,RR,0.001,0.001,0.001
142,Guaíra,PR,0.001,0.001,0.001
114,Gastão Vidigal,SP,0.001,0.001,0.002
568,Lagoa da Confusão,TO,0.001,0.001,0.002
76,Caraí,MG,0.001,0.001,0.001
566,Jutaí,AM,0.001,0.001,0.002
623,Palmeiras,BA,0.001,0.001,0.001
4,Adrianópolis,PR,0.001,0.001,0.001
632,Pauini,AM,0.001,0.001,0.002
147,Paranhos,MS,0.001,0.001,0.001
628,Paranã,TO,0.001,0.001,0.001
554,Jardim de Angicos,RN,0.001,0.001,0.001
135,Bonfim,RR,0.001,0.001,0.001
552,Januária,MG,0.001,0.001,0.001
144,Itaqui,RS,0.001,0.001,0.001
736,Terra Santa,PA,0.0,0.0,0.0
130,Santa Vitória do Palmar,RS,0.0,0.0,0.0
769,Nanuque,MG,0.0,0.0,0.0
133,Bela Vista,MS,0.0,0.0,0.0
104,Duas Estradas,PB,0.0,0.0,0.0
370,Águas Formosas,MG,0.0,0.0,0.0
785,Gaúcha do Norte,MT,0.0,0.0,0.0
134,Barra do Quaraí,RS,0.0,0.0,0.0
10,Alto Parnaíba,MA,0.0,0.0,0.0
150,Porto Vera Cruz,RS,0.0,0.0,0.0
369,Água Boa,MG,0.0,0.0,0.0
740,Turiaçu,MA,0.0,0.0,0.0
151,Porto Xavier,RS,0.0,0.0,0.0
753,Várzea Grande,PI,0.0,0.0,0.0
229,Otacílio Costa,SC,0.0,0.0,0.0
383,Anajás,PA,0.0,0.0,0.0
749,Utinga,BA,0.0,0.0,0.0
145,Jaguarão,RS,0.0,0.0,0.0
290,Salvador do Sul,RS,0.0,0.0,0.0
760,Virgem da Lapa,MG,0.0,0.0,0.0
319,São Sebastião da Amoreira,PR,0.0,0.0,0.0
761,Viseu,PA,0.0,0.0,0.0
341,Baliza,GO,0.0,0.0,0.001
141,Garruchos,RS,0.0,0.0,0.0
139,Dionísio Cerqueira,SC,0.0,0.0,0.001
136,Coronel Sapucaia,MS,0.0,0.0,0.0
149,Porto Mauá,RS,0.0,0.0,0.0
741,Turmalina,MG,0.0,0.0,0.0
639,Pimenteiras do Oeste,RO,0.0,0.0,0.0
387,Apuí,AM,0.0,0.0,0.0
593,Monte Alegre de Goiás,GO,0.0,0.0,0.0
547,Jacareacanga,PA,0.0,0.0,0.0
553,Japurá,AM,0.0,0.0,0.0
563,Juruá,AM,0.0,0.0,0.0
668,Rio Paranaíba,MG,0.0,0.0,0.0
570,Lizarda,TO,0.0,0.0,0.0
573,Luciara,MT,0.0,0.0,0.0
665,Ribeiro Gonçalves,PI,0.0,0.0,0.0
577,Manicoré,AM,0.0,0.0,0.001
591,Montalvânia,MG,0.0,0.0,0.0
598,Morada Nova de Minas,MG,0.0,0.0,0.0
544,Itarema,CE,0.0,0.0,0.0
600,Mostardas,RS,0.0,0.0,0.0
602,Mucugê,BA,0.0,0.0,0.0
653,Porto Walter,AC,0.0,0.0,0.0
652,Porto Murtinho,MS,0.0,0.0,0.0
651,Porto dos Gaúchos,MT,0.0,0.0,0.0
613,Novo Aripuanã,AM,0.0,0.0,0.0
614,Novo Horizonte,BA,0.0,0.0,0.0
620,Ourolândia,BA,0.0,0.0,0.0
629,Paranaíba,MS,0.0,0.0,0.001
677,Salinópolis,PA,0.0,0.0,0.0
679,Santa Cruz do Arari,PA,0.0,0.0,0.0
391,Araguaçu,TO,0.0,0.0,0.0
477,Conceição,PB,0.0,0.0,0.0
727,Taguatinga,TO,0.0,0.0,0.001
396,Arraias,TO,0.0,0.0,0.001
724,Sítio Novo,MA,0.0,0.0,0.0
421,Brotas de Macaúbas,BA,0.0,0.0,0.0
713,São Miguel do Araguaia,GO,0.0,0.0,0.0
433,Calçoene,AP,0.0,0.0,0.0
446,Canarana,BA,0.0,0.0,0.0
449,Canudos,BA,0.0,0.0,0.0
465,Chapadão do Céu,GO,0.0,0.0,0.0
699,São Gabriel,BA,0.0,0.0,0.0
682,Santa Isabel do Rio Negro,AM,0.0,0.0,0.0
483,Corrente,PI,0.0,0.0,0.0
696,São Félix do Xingu,PA,0.0,0.0,0.0
494,Curaçá,BA,0.0,0.0,0.0
511,Fortaleza dos Nogueiras,MA,0.0,0.0,0.0
514,Gentio do Ouro,BA,0.0,0.0,0.0
515,Gilbués,PI,0.0,0.0,0.0
519,Guadalupe,PI,0.0,0.0,0.0
525,Gurupá,PA,0.0,0.0,0.0
529,Iaciara,GO,0.0,0.0,0.0
786,Santa Terezinha,MT,0.0,0.0,0.0
