UTP,Cidade Sede,UF,Impacto direto,Impacto direto e indireto,"Impacto direto, indireto e induzido"
325,Sobral,CE,0.126,0.142,0.15
99,Cuité,PB,0.082,0.122,0.139
407,Barreirinhas,MA,0.1,0.108,0.113
350,Ituberá,BA,0.074,0.108,0.122
302,Santo Antônio,RN,0.071,0.106,0.12
39,Barretos,SP,0.083,0.105,0.116
162,Itambé,PE,0.095,0.103,0.108
228,Novo Hamburgo,RS,0.066,0.101,0.119
360,Vera Cruz,BA,0.067,0.098,0.112
29,Araxá,MG,0.091,0.097,0.102
364,Volta Redonda,RJ,0.064,0.096,0.11
22,Arapiraca,AL,0.082,0.096,0.103
435,Camocim,CE,0.082,0.093,0.099
687,Santa Rosa,RS,0.061,0.092,0.107
279,Quixadá,CE,0.069,0.09,0.099
616,Óbidos,PA,0.067,0.088,0.097
13,Americana,SP,0.055,0.08,0.093
328,Sorocaba,SP,0.052,0.079,0.092
592,Monte Alegre,PA,0.06,0.079,0.088
121,Guarapuava,PR,0.056,0.078,0.089
96,Forquilhinha,SC,0.058,0.076,0.086
358,Varginha,MG,0.049,0.075,0.087
321,Serra Talhada,PE,0.067,0.073,0.076
695,São Félix do Araguaia,MT,0.048,0.072,0.081
766,Ilhabela,SP,0.053,0.071,0.08
254,Petrópolis,RJ,0.045,0.067,0.077
419,Brejo,MA,0.051,0.066,0.073
615,Novo Progresso,PA,0.051,0.065,0.072
159,Itabuna,BA,0.044,0.065,0.074
659,Presidente Figueiredo,AM,0.062,0.063,0.064
91,Codó,MA,0.049,0.062,0.067
597,Limoeiro do Norte,CE,0.04,0.058,0.066
2,Dom Eliseu,PA,0.053,0.058,0.062
273,Presidente Juscelino,MA,0.053,0.057,0.059
205,Mamanguape,PB,0.048,0.057,0.061
647,Pontes e Lacerda,MT,0.049,0.056,0.06
52,Bragança,PA,0.044,0.056,0.062
440,Campo Mourão,PR,0.05,0.054,0.057
674,Russas,CE,0.037,0.054,0.061
112,Franca,SP,0.037,0.054,0.063
94,Conselheiro Lafaiete,MG,0.05,0.054,0.057
248,Pedreiras,MA,0.04,0.053,0.058
156,Uruguaiana,RS,0.037,0.053,0.061
333,Pindamonhangaba,SP,0.045,0.053,0.058
46,Blumenau,SC,0.04,0.052,0.058
468,Cianorte,PR,0.048,0.051,0.053
43,Garibaldi,RS,0.038,0.049,0.055
188,Iguatu,CE,0.047,0.049,0.05
354,União da Vitória,PR,0.039,0.049,0.054
395,Ariquemes,RO,0.041,0.049,0.053
295,Pinheiro,MA,0.041,0.048,0.051
735,Telêmaco Borba,PR,0.044,0.046,0.048
641,Pirenópolis,GO,0.033,0.046,0.053
57,Cachoeira,BA,0.034,0.046,0.051
337,Teresópolis,RJ,0.031,0.046,0.052
367,Adustina,BA,0.044,0.045,0.046
317,São Pedro,SP,0.038,0.045,0.049
252,Penedo,AL,0.041,0.044,0.046
33,Bagé,RS,0.033,0.044,0.05
686,Santa Rita de Cássia,BA,0.033,0.044,0.049
1,Abaetetuba,PA,0.035,0.043,0.047
595,Monteiro,PB,0.029,0.043,0.048
32,Bacabal,MA,0.033,0.043,0.047
487,Crateús,CE,0.038,0.042,0.043
410,Boa Viagem,CE,0.039,0.042,0.044
120,Guarapari,ES,0.029,0.042,0.049
681,Santa Inês,MA,0.033,0.041,0.045
330,Taquara,RS,0.027,0.041,0.048
31,Artur Nogueira,SP,0.028,0.041,0.047
27,Araripina,PE,0.036,0.04,0.042
781,Tucuruí,PA,0.032,0.039,0.042
212,Matinhos,PR,0.026,0.039,0.044
565,Juruti,PA,0.032,0.039,0.043
263,Caicó,RN,0.035,0.039,0.042
85,Caxias,MA,0.029,0.037,0.04
782,Confresa,MT,0.025,0.037,0.043
178,Jaraguá do Sul,SC,0.024,0.036,0.042
627,Paramirim,BA,0.025,0.036,0.04
80,Castanhal,PA,0.029,0.036,0.04
462,Centenário do Sul,PR,0.031,0.034,0.037
60,Caiçara,PB,0.023,0.034,0.038
256,Piracicaba,SP,0.028,0.033,0.035
197,Limeira,SP,0.029,0.033,0.035
50,Botucatu,SP,0.021,0.032,0.038
428,Cáceres,MT,0.027,0.032,0.035
113,Garanhuns,PE,0.029,0.032,0.033
106,Eunápolis,BA,0.023,0.032,0.035
626,Paragominas,PA,0.026,0.03,0.032
728,Tamboril,CE,0.027,0.029,0.03
81,Catalão,GO,0.02,0.029,0.033
582,Marechal Cândido Rondon,PR,0.026,0.028,0.03
550,Jaguaribe,CE,0.022,0.028,0.031
719,Senador Pompeu,CE,0.026,0.027,0.028
